Filename;newFilename;Path;Title;Text_English;Language ;Pictorial_verbopictorial;Name_of_the_creator;Longitude;Latitude;Additional_info;Mode_of_construction;Function;Channels_of_circulation
IMG00019.jpg;IMG00019_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00019.jpg"" />";Out of the cage;;;pictorial;EXIT;23.73457; 37.98602;;spraypaint / marker pen;social, political;public wall
IMG00020.jpg;IMG00020_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00020.jpg"" />";Refugees (Dedicated to refugees);;;pictorial;WD;23.73585; 37.98605;;spraypaint / marker pen;social, aesthetic, politcal;public wall
IMG00021.jpg;IMG00021_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00021.jpg"" />";The lady of Athens withouth the head;;;pictorial;Sonke;23.74151; 37.98595;;spraypaint / marker pen;social, aesthetic, politcal;public wall
IMG00022.jpg;IMG00022_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00022.jpg"" />";Greek tsolias;;;pictorial;Bleeps.gr;23.72544; 37.98077;;stencil;social, aesthetic, politcal;public wall
IMG00023.jpg;IMG00023_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00023.jpg"" />";Star;Star;GR;verbopictorial;Yiakou;23.72555; 37.97735;;spraypaint / marker pen;social, aesthetic, politcal;public wall
IMG00024.jpg;IMG00024_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00024.jpg"" />";The sheep and the wolves;As long as sheep stand, so wolves will scream;GR;verbopictorial;Unknown;23.73554; 37.98741;;spraypaint / marker pen;social, political;public wall
IMG00025.jpg;IMG00025_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00025.jpg"" />";Princess with wings;;;pictorial;Unknown;23.73614; 37.98671;;spraypaint / marker pen;social, political;public wall
IMG00026.jpg;IMG00026_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00026.jpg"" />";Cops are pigs;;;pictorial;Unknown;23.73485; 37.98768;;spraypaint / marker pen;social, political;public wall
IMG00027.jpg;IMG00027_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00027.jpg"" />";The big mouth;Stop talking, just act;EN;verbopictorial;EMICA;23.73635; 37.98794;;spraypaint / marker pen;social, political;public wall
IMG00028.jpg;IMG00028_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00028.jpg"" />";New austerity measures;Rage for new measures;GR;verbopictorial;Cacao Rocks;23.73640; 37.98636;;spraypaint / marker pen;social, political;public wall
IMG00029.jpg;IMG00029_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00029.jpg"" />";Watching you from the window;;;pictorial;WD;23.73601; 37.98598;;spraypaint / marker pen;social, political;public wall
IMG00030.jpg;IMG00030_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00030.jpg"" />";Human clones;Stop human cloning;EN;verbopictorial;FLIP;23.72607; 37.97701;;stencil;social, political;public wall
IMG00031.jpg;IMG00031_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00031.jpg"" />";Antifascism - Antinazism;Crash the fascists;GR;verbopictorial;Unknown;23.72318; 37.98637;;spraypaint / marker pen;social, political;public wall
